"","date","Serial","TempInSitu","E_Conductivity","Sp_Conductance","Salinity","Salinity_off"
"122",2021-05-16 19:00:30,"CT_331",28.93,37116.6,49930.5,32.6864,32.7841147540984
"123",2021-05-16 19:01:00,"CT_331",28.93,37092,49897.3,32.6621,32.7598147540984
"124",2021-05-16 19:01:30,"CT_331",28.92,37081.4,49892.4,32.6585,32.7562147540984
"125",2021-05-16 19:02:00,"CT_331",28.93,37120.2,49935.3,32.69,32.7877147540984
"126",2021-05-16 19:02:30,"CT_331",28.93,37092,49897.3,32.6621,32.7598147540984
"127",2021-05-16 19:03:00,"CT_331",28.93,37092,49897.3,32.6621,32.7598147540984
"128",2021-05-16 19:03:30,"CT_331",28.92,37053.3,49854.6,32.6307,32.7284147540984
"129",2021-05-16 19:04:00,"CT_331",28.92,37074.4,49883,32.6516,32.7493147540984
"130",2021-05-16 19:04:30,"CT_331",28.92,37046.3,49845.1,32.6238,32.7215147540984
"131",2021-05-16 19:05:00,"CT_331",28.92,37039.3,49835.7,32.6169,32.7146147540984
"132",2021-05-16 19:05:30,"CT_331",28.92,37049.8,49849.8,32.6273,32.7250147540984
"133",2021-05-16 19:06:00,"CT_331",28.92,37056.8,49859.3,32.6342,32.7319147540984
"134",2021-05-16 19:06:30,"CT_331",28.92,37067.4,49873.6,32.6447,32.7424147540984
"135",2021-05-16 19:07:00,"CT_331",28.92,37046.3,49845.1,32.6238,32.7215147540984
"136",2021-05-16 19:07:30,"CT_331",28.92,37046.3,49845.1,32.6238,32.7215147540984
"137",2021-05-16 19:08:00,"CT_331",28.91,37056.8,49868.7,32.6411,32.7388147540984
"138",2021-05-16 19:08:30,"CT_331",28.91,37021.7,49821.3,32.6064,32.7041147540984
"139",2021-05-16 19:09:00,"CT_331",28.91,36986.7,49774.2,32.5717,32.6694147540984
"140",2021-05-16 19:09:30,"CT_331",28.91,37046.3,49854.5,32.6307,32.7284147540984
"141",2021-05-16 19:10:00,"CT_331",28.92,37039.3,49835.7,32.6169,32.7146147540984
"142",2021-05-16 19:10:30,"CT_331",28.91,37000.7,49793,32.5856,32.6833147540984
"143",2021-05-16 19:11:00,"CT_331",28.91,37004.2,49797.8,32.589,32.6867147540984
"144",2021-05-16 19:11:30,"CT_331",28.91,37046.3,49854.5,32.6307,32.7284147540984
"145",2021-05-16 19:12:00,"CT_331",28.92,36986.7,49764.8,32.5649,32.6626147540984
"146",2021-05-16 19:12:30,"CT_331",28.92,36997.2,49779,32.5752,32.6729147540984
"147",2021-05-16 19:13:00,"CT_331",28.92,36983.2,49760.1,32.5614,32.6591147540984
"148",2021-05-16 19:13:30,"CT_331",28.92,37018.2,49807.3,32.596,32.6937147540984
"149",2021-05-16 19:14:00,"CT_331",28.92,37011.2,49797.8,32.5891,32.6868147540984
"150",2021-05-16 19:14:30,"CT_331",28.92,37011.2,49797.8,32.5891,32.6868147540984
"151",2021-05-16 19:15:00,"CT_331",28.92,37021.7,49812,32.5995,32.6972147540984
"152",2021-05-16 19:15:30,"CT_331",28.91,36969.2,49750.6,32.5544,32.6521147540984
"153",2021-05-16 19:16:00,"CT_331",28.91,36983.2,49769.5,32.5683,32.6660147540984
"154",2021-05-16 19:16:30,"CT_331",28.92,36983.2,49760.1,32.5614,32.6591147540984
"155",2021-05-16 19:17:00,"CT_331",28.91,36958.7,49736.4,32.544,32.6417147540984
"156",2021-05-16 19:17:30,"CT_331",28.91,36965.7,49745.9,32.551,32.6487147540984
"157",2021-05-16 19:18:00,"CT_331",28.92,36969.2,49741.2,32.5476,32.6453147540984
"158",2021-05-16 19:18:30,"CT_331",28.92,36774.2,49478.5,32.3549,32.4526147540984
"159",2021-05-16 19:19:00,"CT_331",28.92,36909.8,49661.2,32.4888,32.5865147540984
"160",2021-05-16 19:19:30,"CT_331",28.92,36892.3,49637.6,32.4715,32.5692147540984
"161",2021-05-16 19:20:00,"CT_331",28.92,36850.6,49581.4,32.4303,32.5280147540984
"162",2021-05-16 19:20:30,"CT_331",28.92,36777.7,49483.2,32.3583,32.4560147540984
"163",2021-05-16 19:21:00,"CT_331",28.92,36795,49506.5,32.3754,32.4731147540984
"164",2021-05-16 19:21:30,"CT_331",28.92,36885.4,49628.3,32.4647,32.5624147540984
"165",2021-05-16 19:22:00,"CT_331",28.92,36861,49595.4,32.4406,32.5383147540984
"166",2021-05-16 19:22:30,"CT_331",28.91,36822.8,49553.3,32.4097,32.5074147540984
"167",2021-05-16 19:23:00,"CT_331",28.91,36847.1,49586,32.4337,32.5314147540984
"168",2021-05-16 19:23:30,"CT_331",28.91,36826.2,49557.9,32.4131,32.5108147540984
"169",2021-05-16 19:24:00,"CT_331",28.91,36815.8,49543.8,32.4028,32.5005147540984
"170",2021-05-16 19:24:30,"CT_331",28.91,36840.1,49576.6,32.4268,32.5245147540984
"171",2021-05-16 19:25:00,"CT_331",28.91,36843.6,49581.3,32.4303,32.5280147540984
"172",2021-05-16 19:25:30,"CT_331",28.91,36815.8,49543.8,32.4028,32.5005147540984
"173",2021-05-16 19:26:00,"CT_331",28.91,36815.8,49543.8,32.4028,32.5005147540984
"174",2021-05-16 19:26:30,"CT_331",28.91,36815.8,49543.8,32.4028,32.5005147540984
"175",2021-05-16 19:27:00,"CT_331",28.92,36795,49506.5,32.3754,32.4731147540984
"176",2021-05-16 19:27:30,"CT_331",28.91,36795,49515.8,32.3822,32.4799147540984
"177",2021-05-16 19:28:00,"CT_331",28.91,36822.8,49553.3,32.4097,32.5074147540984
"178",2021-05-16 19:28:30,"CT_331",28.91,36767.3,49478.5,32.3549,32.4526147540984
"179",2021-05-16 19:29:00,"CT_331",28.92,36770.7,49473.7,32.3514,32.4491147540984
"180",2021-05-16 19:29:30,"CT_331",28.92,36767.3,49469.2,32.348,32.4457147540984
"181",2021-05-16 19:30:00,"CT_331",28.92,36756.9,49455.1,32.3378,32.4355147540984
"182",2021-05-16 19:30:30,"CT_331",28.92,36795,49506.5,32.3754,32.4731147540984
"183",2021-05-16 19:31:00,"CT_331",28.92,36791.5,49501.8,32.372,32.4697147540984
"184",2021-05-16 19:31:30,"CT_331",28.92,36718.8,49403.8,32.3001,32.3978147540984
"185",2021-05-16 19:32:00,"CT_331",28.92,36763.8,49464.4,32.3446,32.4423147540984
"186",2021-05-16 19:32:30,"CT_331",28.92,36781.1,49487.8,32.3617,32.4594147540984
"187",2021-05-16 19:33:00,"CT_331",28.92,36739.6,49431.8,32.3207,32.4184147540984
"188",2021-05-16 19:33:30,"CT_331",28.92,36756.9,49455.1,32.3378,32.4355147540984
"189",2021-05-16 19:34:00,"CT_331",28.92,36743,49436.4,32.324,32.4217147540984
"190",2021-05-16 19:34:30,"CT_331",28.92,36718.8,49403.8,32.3001,32.3978147540984
"191",2021-05-16 19:35:00,"CT_331",28.92,36770.7,49473.7,32.3514,32.4491147540984
"192",2021-05-16 19:35:30,"CT_331",28.92,36770.7,49473.7,32.3514,32.4491147540984
"193",2021-05-16 19:36:00,"CT_331",28.92,36743,49436.4,32.324,32.4217147540984
"194",2021-05-16 19:36:30,"CT_331",28.92,36756.9,49455.1,32.3378,32.4355147540984
"195",2021-05-16 19:37:00,"CT_331",28.92,36736.1,49427.1,32.3172,32.4149147540984
"196",2021-05-16 19:37:30,"CT_331",28.92,36718.8,49403.8,32.3001,32.3978147540984
"197",2021-05-16 19:38:00,"CT_331",28.92,36705,49385.2,32.2865,32.3842147540984
"198",2021-05-16 19:38:30,"CT_331",28.93,36743,49427.1,32.3172,32.4149147540984
"199",2021-05-16 19:39:00,"CT_331",28.93,36753.4,49441.1,32.3275,32.4252147540984
"200",2021-05-16 19:39:30,"CT_331",28.93,36746.5,49431.8,32.3207,32.4184147540984
"201",2021-05-16 19:40:00,"CT_331",28.93,36725.7,49403.8,32.3001,32.3978147540984
"202",2021-05-16 19:40:30,"CT_331",28.93,37240.3,50097.1,32.8088,32.9065147540984
"203",2021-05-16 19:41:00,"CT_331",28.93,37088.5,49892.6,32.6587,32.7564147540984
"204",2021-05-16 19:41:30,"CT_331",28.93,36885.4,49619,32.4579,32.5556147540984
"205",2021-05-16 19:42:00,"CT_331",28.93,36861,49586.1,32.4338,32.5315147540984
"206",2021-05-16 19:42:30,"CT_331",28.93,36934.2,49684.7,32.5061,32.6038147540984
"207",2021-05-16 19:43:00,"CT_331",28.95,36850.6,49553.4,32.4098,32.5075147540984
"208",2021-05-16 19:43:30,"CT_331",28.95,36836.7,49534.7,32.3961,32.4938147540984
"209",2021-05-16 19:44:00,"CT_331",28.95,36857.5,49562.7,32.4166,32.5143147540984
"210",2021-05-16 19:44:30,"CT_331",28.95,36847.1,49548.7,32.4064,32.5041147540984
"211",2021-05-16 19:45:00,"CT_331",28.95,36826.2,49520.6,32.3857,32.4834147540984
"212",2021-05-16 19:45:30,"CT_331",28.95,36836.7,49534.7,32.3961,32.4938147540984
"213",2021-05-16 19:46:00,"CT_331",28.95,36843.6,49544,32.4029,32.5006147540984
"214",2021-05-16 19:46:30,"CT_331",28.95,36836.7,49534.7,32.3961,32.4938147540984
"215",2021-05-16 19:47:00,"CT_331",28.95,36801.9,49487.8,32.3617,32.4594147540984
"216",2021-05-16 19:47:30,"CT_331",28.95,36767.3,49441.2,32.3276,32.4253147540984
"217",2021-05-16 19:48:00,"CT_331",28.95,36718.8,49375.9,32.2797,32.3774147540984
"218",2021-05-16 19:48:30,"CT_331",28.95,36718.8,49375.9,32.2797,32.3774147540984
"219",2021-05-16 19:49:00,"CT_331",28.95,36756.9,49427.2,32.3173,32.4150147540984
"220",2021-05-16 19:49:30,"CT_331",28.95,36767.3,49441.2,32.3276,32.4253147540984
"221",2021-05-16 19:50:00,"CT_331",28.95,36725.7,49385.2,32.2865,32.3842147540984
"222",2021-05-16 19:50:30,"CT_331",28.95,36746.5,49413.2,32.3071,32.4048147540984
"223",2021-05-16 19:51:00,"CT_331",28.95,36777.7,49455.3,32.3379,32.4356147540984
"224",2021-05-16 19:51:30,"CT_331",28.95,36767.3,49441.2,32.3276,32.4253147540984
"225",2021-05-16 19:52:00,"CT_331",28.95,36760.3,49431.8,32.3207,32.4184147540984
"226",2021-05-16 19:52:30,"CT_331",28.95,36753.4,49422.5,32.3139,32.4116147540984
"227",2021-05-16 19:53:00,"CT_331",28.95,36698.1,49348,32.2593,32.3570147540984
"228",2021-05-16 19:53:30,"CT_331",28.95,36743,49408.5,32.3036,32.4013147540984
"229",2021-05-16 19:54:00,"CT_331",28.95,36732.6,49394.5,32.2933,32.3910147540984
"230",2021-05-16 19:54:30,"CT_331",28.95,36725.7,49385.2,32.2865,32.3842147540984
"231",2021-05-16 19:55:00,"CT_331",28.95,36708.5,49362.1,32.2696,32.3673147540984
"232",2021-05-16 19:55:30,"CT_331",28.95,36864.5,49572.2,32.4236,32.5213147540984
"233",2021-05-16 19:56:00,"CT_331",28.95,36829.7,49525.3,32.3892,32.4869147540984
"234",2021-05-16 19:56:30,"CT_331",28.96,36857.5,49553.4,32.4098,32.5075147540984
"235",2021-05-16 19:57:00,"CT_331",28.95,36864.5,49572.2,32.4236,32.5213147540984
"236",2021-05-16 19:57:30,"CT_331",28.96,36878.4,49581.5,32.4304,32.5281147540984
"237",2021-05-16 19:58:00,"CT_331",28.96,36857.5,49553.4,32.4098,32.5075147540984
"238",2021-05-16 19:58:30,"CT_331",28.96,36822.8,49506.7,32.3756,32.4733147540984
"239",2021-05-16 19:59:00,"CT_331",28.96,36861,49558.1,32.4133,32.5110147540984
"240",2021-05-16 19:59:30,"CT_331",28.95,36874.9,49586.2,32.4338,32.5315147540984
"241",2021-05-16 20:00:00,"CT_331",28.96,36829.7,49516,32.3824,32.4801147540984
"242",2021-05-16 20:00:30,"CT_331",28.96,36843.6,49534.7,32.3961,32.4938147540984
"243",2021-05-16 20:01:00,"CT_331",28.96,36861,49558.1,32.4133,32.5110147540984
"244",2021-05-16 20:01:30,"CT_331",28.96,36836.7,49525.4,32.3893,32.4870147540984
"245",2021-05-16 20:02:00,"CT_331",28.96,36864.5,49562.8,32.4167,32.5144147540984
"246",2021-05-16 20:02:30,"CT_331",28.96,36847.1,49539.4,32.3995,32.4972147540984
"247",2021-05-16 20:03:00,"CT_331",28.96,36840.1,49530,32.3926,32.4903147540984
"248",2021-05-16 20:03:30,"CT_331",28.96,36857.5,49553.4,32.4098,32.5075147540984
"249",2021-05-16 20:04:00,"CT_331",28.96,36777.7,49446,32.331,32.4287147540984
"250",2021-05-16 20:04:30,"CT_331",28.96,36795,49469.2,32.3481,32.4458147540984
"251",2021-05-16 20:05:00,"CT_331",28.96,36743,49399.2,32.2968,32.3945147540984
"252",2021-05-16 20:05:30,"CT_331",28.96,36770.7,49436.5,32.3241,32.4218147540984
"253",2021-05-16 20:06:00,"CT_331",28.96,36801.9,49478.5,32.3549,32.4526147540984
"254",2021-05-16 20:06:30,"CT_331",28.96,36767.3,49431.9,32.3208,32.4185147540984
"255",2021-05-16 20:07:00,"CT_331",28.96,36774.2,49441.2,32.3276,32.4253147540984
"256",2021-05-16 20:07:30,"CT_331",28.96,36819.3,49502,32.3721,32.4698147540984
"257",2021-05-16 20:08:00,"CT_331",28.96,36774.2,49441.2,32.3276,32.4253147540984
"258",2021-05-16 20:08:30,"CT_331",28.96,36815.8,49497.3,32.3686,32.4663147540984
"259",2021-05-16 20:09:00,"CT_331",28.96,36732.6,49385.2,32.2865,32.3842147540984
"260",2021-05-16 20:09:30,"CT_331",28.96,36684.3,49320.2,32.2389,32.3366147540984
"261",2021-05-16 20:10:00,"CT_331",28.96,36680.8,49315.5,32.2354,32.3331147540984
"262",2021-05-16 20:10:30,"CT_331",28.97,36684.3,49310.9,32.2321,32.3298147540984
"263",2021-05-16 20:11:00,"CT_331",28.96,36601.7,49209,32.1574,32.2551147540984
"264",2021-05-16 20:11:30,"CT_331",28.96,36622.3,49236.7,32.1777,32.2754147540984
"265",2021-05-16 20:12:00,"CT_331",28.96,36612,49222.8,32.1676,32.2653147540984
"266",2021-05-16 20:12:30,"CT_331",28.96,36677.4,49310.9,32.2321,32.3298147540984
"267",2021-05-16 20:13:00,"CT_331",28.96,36618.8,49232,32.1743,32.2720147540984
"268",2021-05-16 20:13:30,"CT_331",28.96,36636,49255.1,32.1912,32.2889147540984
"269",2021-05-16 20:14:00,"CT_331",28.96,36632.6,49250.6,32.1879,32.2856147540984
"270",2021-05-16 20:14:30,"CT_331",28.96,36656.7,49283,32.2117,32.3094147540984
"271",2021-05-16 20:15:00,"CT_331",28.96,36632.6,49250.6,32.1879,32.2856147540984
"272",2021-05-16 20:15:30,"CT_331",28.96,36642.9,49264.4,32.198,32.2957147540984
"273",2021-05-16 20:16:00,"CT_331",28.96,36670.5,49301.6,32.2253,32.3230147540984
"274",2021-05-16 20:16:30,"CT_331",28.96,36598.2,49204.3,32.154,32.2517147540984
"275",2021-05-16 20:17:00,"CT_331",28.96,36636,49255.1,32.1912,32.2889147540984
"276",2021-05-16 20:17:30,"CT_331",28.96,36629.2,49246,32.1845,32.2822147540984
"277",2021-05-16 20:18:00,"CT_331",28.96,36622.3,49236.7,32.1777,32.2754147540984
"278",2021-05-16 20:18:30,"CT_331",28.96,36646.4,49269.2,32.2015,32.2992147540984
"279",2021-05-16 20:19:00,"CT_331",28.96,36636,49255.1,32.1912,32.2889147540984
"280",2021-05-16 20:19:30,"CT_331",28.96,36608.5,49218.1,32.1641,32.2618147540984
"281",2021-05-16 20:20:00,"CT_331",28.97,36529.6,49102.6,32.0796,32.1773147540984
"282",2021-05-16 20:20:30,"CT_331",28.96,36553.6,49144.2,32.11,32.2077147540984
"283",2021-05-16 20:21:00,"CT_331",28.97,36567.3,49153.4,32.1167,32.2144147540984
"284",2021-05-16 20:21:30,"CT_331",28.96,36563.9,49158.1,32.1201,32.2178147540984
"285",2021-05-16 20:22:00,"CT_331",28.96,36539.9,49125.7,32.0965,32.1942147540984
