Location,lat,lon,CowTagID,Top_Plate_ID,Bottom_Plate_ID,Jamie_Plate_ID,Plate_Seep,Date,Time,DateTime,Tide,Day_Night,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL
Varari,-17.54039696,-149.899396,V14,V14,V34,J14,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.35,27.05,2382.973932,8.023752162095985,0.22,2.33,0.44,0.34
Varari,-17.54014299,-149.900183,V15,V15,V35,J15,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.43,27.59,2315.246435,8.061434441377646,0.22,1.22,0.53,0.4
Varari,-17.54014299,-149.900183,V15,V15,V35,J15,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.44,26.87,2313.6248650000002,7.982301878810204,0.18,0.65,0.4,0.47
Varari,-17.54014299,-149.900183,V15,V15,V35,J15,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.15,28.17,2340.611163,8.062725666096929,0.28,7.61,1.08,0.26
Varari,-17.54014299,-149.900183,V15,V15,V35,J15,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.45,26.94,2349.333824,7.995548758351684,0.19,1,0.41,0.15
Varari,-17.54014299,-149.900183,V15,V15,V35,J15,Plate,2021-08-08,07:30:00,2021-08-08T07:30:00Z,Low,Day,36.45,27.11,2376.479103,8.029064935245,0.22,1.18,0.39,0.34
Varari,-17.54029797,-149.900492,V16,V16,V36,J16,Plate,2021-08-05,11:57:00,2021-08-05T11:57:00Z,High,Day,36.43,27.64,2363.988112,8.051330006870517,0.21,1.37,0.47,0.3
Varari,-17.54029797,-149.900492,V16,V16,V36,J16,Plate,2021-08-05,00:00:00,2021-08-05T00:00:00Z,High,Night,36.49,26.91,2321.911981,8.032940303034913,0.19,0.66,0.32,0.86
Varari,-17.54029797,-149.900492,V16,V16,V36,J16,Plate,2021-08-08,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.4,28.16,2340.260957,8.088844428968844,0.21,1.25,0.44,0.36
Varari,-17.54029797,-149.900492,V16,V16,V36,J16,Plate,2021-08-06,06:40:00,2021-08-06T06:40:00Z,Low,Day,36.48,27.09,2356.432356,8.007914675949424,0.19,0.96,0.3,0.02
