Serial Number:20555870 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2022-06-03 18:44:00,26.30,0, , , , , 
2022-06-03 18:46:00,26.25,0, , , , , 
2022-06-03 18:48:00,26.30,0, , , , , 
2022-06-03 18:50:00,26.25,0, , , , , 
2022-06-03 18:52:00,26.30,0, , , , , 
2022-06-03 18:54:00,26.21,0, , , , , 
2022-06-03 18:56:00,26.25,0, , , , , 
2022-06-03 18:58:00,26.25,0, , , , , 
2022-06-03 19:00:00,26.21,0, , , , , 
2022-06-03 19:02:00,26.25,0, , , , , 
2022-06-03 19:04:00,26.21,0, , , , , 
2022-06-03 19:06:00,26.30,0, , , , , 
2022-06-03 19:08:00,26.21,0, , , , , 
2022-06-03 19:10:00,26.21,0, , , , , 
2022-06-03 19:12:00,26.25,0, , , , , 
2022-06-03 19:14:00,26.21,0, , , , , 
2022-06-03 19:16:00,26.21,0, , , , , 
2022-06-03 19:18:00,26.21,0, , , , , 
2022-06-03 19:20:00,26.25,0, , , , , 
2022-06-03 19:22:00,26.25,0, , , , , 
2022-06-03 19:24:00,26.21,0, , , , , 
2022-06-03 19:26:00,26.21,0, , , , , 
2022-06-03 19:28:00,26.25,0, , , , , 
2022-06-03 19:30:00,26.21,0, , , , , 
2022-06-03 19:32:00,26.30,0, , , , , 
2022-06-03 19:34:00,26.21,0, , , , , 
2022-06-03 19:36:00,26.21,0, , , , , 
2022-06-03 19:38:00,26.21,0, , , , , 
2022-06-03 19:40:00,26.25,0, , , , , 
2022-06-03 19:42:00,26.21,0, , , , , 
2022-06-03 19:44:00,26.17,0, , , , , 
2022-06-03 19:46:00,26.21,0, , , , , 
2022-06-03 19:48:00,26.17,0, , , , , 
2022-06-03 19:50:00,26.21,0, , , , , 
2022-06-03 19:52:00,26.17,0, , , , , 
2022-06-03 19:54:00,26.25,0, , , , , 
2022-06-03 19:56:00,26.17,0, , , , , 
2022-06-03 19:58:00,26.17,0, , , , , 
2022-06-03 20:00:00,26.21,0, , , , , 
2022-06-03 20:02:00,26.21,0, , , , , 
2022-06-03 20:04:00,26.17,0, , , , , 
2022-06-03 20:06:00,26.21,0, , , , , 
2022-06-03 20:08:00,26.12,0, , , , , 
2022-06-03 20:10:00,26.21,0, , , , , 
2022-06-03 20:12:00,26.21,0, , , , , 
2022-06-03 20:14:00,26.17,0, , , , , 
2022-06-03 20:16:00,26.21,0, , , , , 
2022-06-03 20:18:00,26.17,0, , , , , 
2022-06-03 20:20:00,26.17,0, , , , , 
2022-06-03 20:22:00,26.17,0, , , , , 
2022-06-03 20:24:00,26.17,0, , , , , 
2022-06-03 20:26:00,26.17,0, , , , , 
2022-06-03 20:28:00,26.12,0, , , , , 
2022-06-03 20:30:00,26.21,0, , , , , 
2022-06-03 20:32:00,26.17,0, , , , , 
2022-06-03 20:34:00,26.21,0, , , , , 
2022-06-03 20:36:00,26.21,0, , , , , 
2022-06-03 20:38:00,26.12,0, , , , , 
2022-06-03 20:40:00,26.17,0, , , , , 
2022-06-03 20:42:00,26.17,0, , , , , 
2022-06-03 20:44:00,26.12,0, , , , , 
2022-06-03 20:46:00,26.17,0, , , , , 
2022-06-03 20:48:00,26.12,0, , , , , 
2022-06-03 20:50:00,26.12,0, , , , , 
2022-06-03 20:52:00,26.17,0, , , , , 
2022-06-03 20:54:00,26.12,0, , , , , 
2022-06-03 20:56:00,26.17,0, , , , , 
2022-06-03 20:58:00,26.21,0, , , , , 
2022-06-03 21:00:00,26.12,0, , , , , 
2022-06-03 21:02:00,26.12,0, , , , , 
2022-06-03 21:04:00,26.17,0, , , , , 
2022-06-03 21:06:00,26.12,0, , , , , 
2022-06-03 21:08:00,26.12,0, , , , , 
2022-06-03 21:10:00,26.12,0, , , , , 
2022-06-03 21:12:00,26.12,0, , , , , 
2022-06-03 21:14:00,26.08,0, , , , , 
2022-06-03 21:16:00,26.08,0, , , , , 
2022-06-03 21:18:00,26.12,0, , , , , 
2022-06-03 21:20:00,26.08,0, , , , , 
2022-06-03 21:22:00,26.08,0, , , , , 
2022-06-03 21:24:00,26.08,0, , , , , 
2022-06-03 21:26:00,26.12,0, , , , , 
2022-06-03 21:28:00,26.12,0, , , , , 
2022-06-03 21:30:00,26.12,0, , , , , 
2022-06-03 21:32:00,26.12,0, , , , , 
2022-06-03 21:34:00,26.12,0, , , , , 
2022-06-03 21:36:00,26.12,0, , , , , 
2022-06-03 21:38:00,26.12,0, , , , , 
2022-06-03 21:40:00,26.12,0, , , , , 
2022-06-03 21:42:00,26.12,0, , , , , 
2022-06-03 21:44:00,26.12,0, , , , , 
2022-06-03 21:46:00,26.12,0, , , , , 
2022-06-03 21:48:00,26.12,0, , , , , 
2022-06-03 21:50:00,26.08,0, , , , , 
