date,E_Conductivity,TempInSitu,Serial,AbsPressure_bar,Sp_Conductance,Sp_Cond_mS.cm,SalinityInSitu_1pCal
2021-01-11T10:42:00Z,39867.3,27.87,319,0,52682.026530612246,52.68202653061225,32.617400898141085
2021-01-11T10:42:10Z,39914.5,27.85,319,0,52729.22653061224,52.729226530612245,32.66408663321853
2021-01-11T10:42:20Z,39883.1,27.85,319,0,52697.82653061224,52.69782653061224,32.64224618574139
2021-01-11T10:42:30Z,39883.1,27.87,319,0,52697.82653061224,52.69782653061224,32.62838503106159
2021-01-11T10:42:40Z,39855.6,27.87,319,0,52670.32653061224,52.67032653061224,32.60926744882987
2021-01-11T10:42:50Z,39835.9,27.87,319,0,52650.626530612244,52.65062653061224,32.59557337924456
2021-01-11T10:43:00Z,39883.1,27.89,319,0,52697.82653061224,52.69782653061224,32.61453375513337
2021-01-11T10:43:10Z,39855.6,27.89,319,0,52670.32653061224,52.67032653061224,32.59542449803418
2021-01-11T10:43:20Z,39910.6,27.87,319,0,52725.32653061224,52.72532653061224,32.64750435555106
2021-01-11T10:43:30Z,39883.1,27.89,319,0,52697.82653061224,52.69782653061224,32.61453375513337
2021-01-11T10:43:40Z,39816.3,27.89,319,0,52631.026530612246,52.631026530612246,32.56811865475692
2021-01-11T10:43:50Z,39824.2,27.86,319,0,52638.92653061224,52.63892653061224,32.59436119858915
2021-01-11T10:44:00Z,39875.2,27.88,319,0,52689.92653061224,52.68992653061224,32.6159672165503
2021-01-11T10:44:10Z,39867.3,27.89,319,0,52682.026530612246,52.68202653061225,32.60355440551329
2021-01-11T10:44:20Z,39851.6,27.88,319,0,52666.32653061224,52.666326530612245,32.59956475137435
2021-01-11T10:44:30Z,39843.8,27.88,319,0,52658.526530612246,52.65852653061225,32.59414387968075
2021-01-11T10:44:40Z,39879.1,27.88,319,0,52693.82653061224,52.69382653061224,32.61867791692933
2021-01-11T10:44:50Z,39851.6,27.87,319,0,52666.32653061224,52.666326530612245,32.60648685474194
2021-01-11T10:45:00Z,39824.2,27.86,319,0,52638.92653061224,52.63892653061224,32.59436119858915
2021-01-11T10:45:10Z,39863.4,27.86,319,0,52678.126530612244,52.678126530612246,32.62161607163597
2021-01-11T10:45:20Z,39258.4,27.81,319,0,52073.126530612244,52.07312653061224,32.235578774281294
2021-01-11T10:45:30Z,39323.6,27.81,319,0,52138.32653061224,52.13832653061224,32.280877035488885
2021-01-11T10:45:40Z,39178.1,27.77,319,0,51992.82653061224,51.99282653061224,32.20716719729944
2021-01-11T10:45:50Z,39300.6,27.8,319,0,52115.32653061224,52.11532653061224,32.27175235398591
2021-01-11T10:46:00Z,39243.1,27.82,319,0,52057.82653061224,52.05782653061224,32.2181056466174
2021-01-11T10:46:10Z,39416,27.83,319,0,52230.72653061224,52.230726530612245,32.3313501844161
2021-01-11T10:46:20Z,39512.6,27.87,319,0,52327.32653061224,52.32732653061224,32.37096548411239
2021-01-11T10:46:30Z,39285.2,27.87,319,0,52099.92653061224,52.099926530612244,32.21312704689378
2021-01-11T10:46:40Z,39528,27.92,319,0,52342.72653061224,52.342726530612246,32.34731764741453
2021-01-11T10:46:50Z,39543.5,27.92,319,0,52358.22653061224,52.35822653061224,32.35806938929756
2021-01-11T10:47:00Z,39539.7,27.92,319,0,52354.42653061224,52.354426530612244,32.35543342721485
2021-01-11T10:47:10Z,39524.2,27.92,319,0,52338.92653061224,52.33892653061224,32.3446818209099
2021-01-11T10:47:20Z,39605.6,27.92,319,0,52420.32653061224,52.42032653061224,32.401151268842405
2021-01-11T10:47:30Z,39613.4,27.92,319,0,52428.126530612244,52.428126530612246,32.40656314684686
2021-01-11T10:47:40Z,39617.3,27.92,319,0,52432.026530612246,52.43202653061225,32.40926913835697
2021-01-11T10:47:50Z,39574.6,27.92,319,0,52389.32653061224,52.389326530612244,32.37964390706761
2021-01-11T10:48:00Z,39594,27.92,319,0,52408.72653061224,52.40872653061224,32.3931030938518
2021-01-11T10:48:10Z,39570.7,27.92,319,0,52385.42653061224,52.38542653061224,32.376938298834425
2021-01-11T10:48:20Z,39586.2,27.92,319,0,52400.92653061224,52.40092653061224,32.387691564113524
2021-01-11T10:48:30Z,39590.1,27.93,319,0,52404.82653061224,52.40482653061224,32.383527019465724
2021-01-11T10:48:40Z,39586.2,27.92,319,0,52400.92653061224,52.40092653061224,32.387691564113524
2021-01-11T10:48:50Z,39547.4,27.92,319,0,52362.126530612244,52.362126530612244,32.36077475336486
2021-01-11T10:49:00Z,39594,27.91,319,0,52408.72653061224,52.40872653061224,32.39997642232898
2021-01-11T10:49:10Z,39562.9,27.91,319,0,52377.626530612244,52.37762653061225,32.378395820928475
2021-01-11T10:49:20Z,39574.6,27.93,319,0,52389.32653061224,52.389326530612244,32.37277595416385
2021-01-11T10:49:30Z,39594,27.91,319,0,52408.72653061224,52.40872653061224,32.39997642232898
2021-01-11T10:49:40Z,39582.3,27.91,319,0,52397.026530612246,52.397026530612244,32.391857413886285
2021-01-11T10:49:50Z,39613.4,27.92,319,0,52428.126530612244,52.428126530612246,32.40656314684686
2021-01-11T10:50:00Z,39613.4,27.92,319,0,52428.126530612244,52.428126530612246,32.40656314684686
2021-01-11T10:50:10Z,39578.4,27.89,319,0,52393.126530612244,52.39312653061224,32.40290044020134
2021-01-11T10:50:20Z,39605.6,27.93,319,0,52420.32653061224,52.42032653061224,32.3942786375465
2021-01-11T10:50:30Z,39621.2,27.94,319,0,52435.92653061224,52.43592653061224,32.39822764141883
2021-01-11T10:50:40Z,39590.1,27.93,319,0,52404.82653061224,52.40482653061224,32.383527019465724
2021-01-11T10:50:50Z,39617.3,27.93,319,0,52432.026530612246,52.43202653061225,32.40239474116582
2021-01-11T10:51:00Z,39601.7,27.93,319,0,52416.42653061224,52.41642653061224,32.391573339662585
2021-01-11T10:51:10Z,39574.6,27.92,319,0,52389.32653061224,52.389326530612244,32.37964390706761
2021-01-11T10:51:20Z,39594,27.94,319,0,52408.72653061224,52.40872653061224,32.379363779403974
2021-01-11T10:51:30Z,39590.1,27.93,319,0,52404.82653061224,52.40482653061224,32.383527019465724
2021-01-11T10:51:40Z,39640.6,27.93,319,0,52455.32653061224,52.45532653061224,32.418558518108505
