date,E_Conductivity,TempInSitu,Serial,Sp_Conductance,AbsPressure,TempInSitu.depth,Depth,Serial.depth,AbsPressure_bar,Sp_Cond_drift.corr,Sp_Conductance.1pcal,Sp_Cond_mS.cm,SalinityInSitu_1pCal
2021-01-15T10:09:50Z,44630.3,29.54,318,54455.58238269495,104.239,29.552,0.245,876,1.0423900000000001,0.2824919441460795,54455.8648746391,54.4558648746391,32.68712653154788
2021-01-15T10:10:00Z,44630.3,29.52,318,54455.58238269495,104.204,29.552,0.242,876,1.0420399999999999,0.28302900107411383,54455.865411696024,54.455865411696024,32.700697478630595
2021-01-15T10:10:10Z,44626.8,29.52,318,54451.3118638246,104.463,29.552,0.268,876,1.04463,0.28356605800214824,54451.595429882604,54.4515954298826,32.69781540520049
2021-01-15T10:10:20Z,44616.4,29.47,318,54438.62232203841,104.221,29.552,0.244,876,1.04221,0.2841031149301826,54438.90642515334,54.43890642515334,32.72320941939254
2021-01-15T10:10:30Z,44605.9,29.51,318,54425.810765427355,104.6,29.552,0.281,876,1.046,0.284640171858217,54426.09540559921,54.42609540559921,32.68739302990986
2021-01-15T10:10:40Z,44644.3,29.49,318,54472.664458176354,104.549,29.552,0.276,876,1.04549,0.28517722878625135,54472.94963540514,54.472949635405136,32.73260628365406
2021-01-15T10:10:50Z,44598.9,29.49,318,54417.26972768665,104.497,29.552,0.271,876,1.04497,0.2857142857142857,54417.55544197237,54.41755544197237,32.69520365529536
2021-01-15T10:11:00Z,44658.3,29.52,318,54489.74653365776,104.841,29.552,0.305,876,1.04841,0.2862513426423201,54490.0327850004,54.4900327850004,32.72375326282602
2021-01-15T10:11:10Z,44602.4,29.52,318,54421.54024655701,104.428,29.552,0.264,876,1.04428,0.28678839957035446,54421.82703495658,54.42182703495658,32.677728955007
2021-01-15T10:11:20Z,44543.1,29.49,318,54349.18545541077,104.6,29.552,0.281,876,1.046,0.2873254564983888,54349.47278086727,54.349472780867266,32.64924239407013
2021-01-15T10:11:30Z,44588.4,29.52,318,54404.4581710756,104.342,29.552,0.256,876,1.04342,0.2878625134264232,54404.74603358903,54.40474603358903,32.66620447030076
2021-01-15T10:11:40Z,44591.9,29.53,318,54408.72868994595,104.376,29.552,0.259,876,1.04376,0.28839957035445757,54409.0170895163,54.409017089516304,32.662306343567636
2021-01-15T10:11:50Z,44550.1,29.57,318,54357.72649315147,104.411,29.552,0.263,876,1.04411,0.2889366272824919,54358.01542977875,54.35801542977875,32.60083980748689
2021-01-15T10:12:00Z,44578,29.52,318,54391.768629289414,104.618,29.552,0.283,876,1.0461799999999999,0.2894736842105263,54392.05810297363,54.39205810297363,32.6576434692591
2021-01-15T10:12:10Z,44560.5,29.53,318,54370.41603493766,104.118,29.552,0.233,876,1.04118,0.2900107411385607,54370.7060456788,54.3707060456788,32.6364656714407
2021-01-15T10:12:20Z,44578,29.54,318,54391.768629289414,104.686,29.552,0.29,876,1.0468600000000001,0.2905477980665951,54392.05917708748,54.39205917708748,32.644091862936676
2021-01-15T10:12:30Z,44522.2,29.52,318,54323.684357013524,104.566,29.552,0.278,876,1.04566,0.29108485499462944,54323.97544186852,54.32397544186852,32.61171579076799
2021-01-15T10:12:40Z,44543.1,29.53,318,54349.18545541077,104.445,29.552,0.266,876,1.0444499999999999,0.2916219119226638,54349.47707732269,54.349477077322696,32.62214691573921
2021-01-15T10:12:50Z,44536.2,29.55,318,54340.76643249493,104.307,29.552,0.252,876,1.04307,0.2921589688506982,54341.05859146378,54.34105859146378,32.60293695950134
2021-01-15T10:13:00Z,44487.4,29.52,318,54281.223197959756,104.497,29.552,0.271,876,1.04497,0.29269602577873255,54281.51589398553,54.281515893985535,32.5830783501324
2021-01-15T10:13:10Z,44546.6,29.54,318,54353.45597428112,104.807,29.552,0.302,876,1.04807,0.2932330827067669,54353.74920736383,54.353749207363826,32.61825781655987
2021-01-15T10:13:20Z,44529.2,29.52,318,54332.22539475423,104.359,29.552,0.257,876,1.04359,0.2937701396348013,54332.51916489386,54.33251916489387,32.617479295119516
2021-01-15T10:13:30Z,44515.3,29.53,318,54315.2653340977,104.549,29.552,0.276,876,1.04549,0.29430719656283566,54315.55964129426,54.315559641294264,32.59927306505835
2021-01-15T10:13:40Z,44532.7,29.53,318,54336.49591362458,104.17,29.552,0.239,876,1.0417,0.29484425349087,54336.79075787807,54.33679075787807,32.61359183823344
2021-01-15T10:13:50Z,44518.8,29.58,318,54319.53585296805,104.531,29.552,0.274,876,1.0453100000000002,0.2953813104189044,54319.83123427847,54.319831234278475,32.56835480342336
2021-01-15T10:14:00Z,44525.7,29.55,318,54327.95487588388,104.256,29.552,0.247,876,1.04256,0.29591836734693877,54328.250794251224,54.328250794251225,32.594303268606275
2021-01-15T10:14:10Z,44546.6,29.54,318,54353.45597428112,104.445,29.552,0.266,876,1.0444499999999999,0.2964554242749731,54353.75242970539,54.35375242970539,32.61826096331537
