Date,CowTagID,SeepCode,Tide,Day_Night,SamplingTime,Salinity,pH,TempInSitu,TA,Notes
8/9/2021,C8,NA,High,Night,01:10:00,36.17,7.982534293680808,27.54,2340.849593,NA
8/9/2021,C5,NA,High,Night,01:10:00,36.23,7.999107253199676,27.36,2338.53947,NA
8/9/2021,C18,NA,High,Night,01:10:00,36.39,7.982635911693628,27.51,2331.225606,NA
8/9/2021,C9,NA,High,Night,01:10:00,36.25,8.005531928604169,27.41,2342.010526,NA
8/9/2021,C10,NA,High,Night,01:10:00,36.19,7.964055338128603,27.6,2351.076783,NA
8/9/2021,C16,NA,High,Night,01:10:00,36.19,7.961672420820126,27.4,2352.743261,NA
8/9/2021,C12,NA,High,Night,01:10:00,36.26,7.988236260485524,27.46,2358.438339,NA
8/9/2021,C19,NA,High,Night,01:10:00,36.39,8.020081897223209,27.52,2352.865808,NA
8/9/2021,C17,NA,High,Night,01:10:00,36.22,7.9879070042538185,27.26,2316.399031,NA
8/9/2021,C2,NA,High,Night,01:10:00,36.16,7.965781025300705,27.2,2370.08551,TempInSitu taken from C1
8/9/2021,C3,NA,High,Night,01:10:00,36.17,7.96885822022715,27.44,2334.438397,NA
8/9/2021,C1,NA,Low,Day,07:00:00,36.13,7.837550779733506,26.49,2330.112996,bottle
8/9/2021,C2,NA,Low,Day,07:00:00,36.1,7.854173178258353,26.49,2321.697004,"bottle, TempInSitu taken from C1"
8/9/2021,C3,NA,Low,Day,07:00:00,36.12,7.879180926752472,26.69,2335.44423,bottle
8/9/2021,C4,NA,Low,Day,07:00:00,36.02,7.883962404997117,27.27,2290.254944,bottle
8/9/2021,C5,NA,Low,Day,07:00:00,36.08,7.937664748225899,26.35,2297.262529,bottle
8/9/2021,C6,NA,Low,Day,07:00:00,36.43,8.011377524002153,27.28,2339.371618,bottle
8/9/2021,C8,NA,Low,Day,07:00:00,36.2,7.946531425414822,27.25,2335.325393,bottle
8/9/2021,C9,NA,Low,Day,07:00:00,36.23,7.994240091854368,27.18,2346.880489,bottle
8/9/2021,C10,NA,Low,Day,07:00:00,36.21,7.9078865895472665,27.17,2312.219741,bottle
8/9/2021,C11,NA,Low,Day,07:00:00,36.28,7.971518517787911,27.62,2326.856393,bottle
8/9/2021,C12,NA,Low,Day,07:00:00,36.19,7.988082284068059,27.19,2358.511584,bottle
8/9/2021,C13,NA,Low,Day,07:00:00,36.25,7.860054870558657,26.62,2307.644199,bottle
8/9/2021,C16,NA,Low,Day,07:00:00,35.89,7.868373676855373,26.73,2316.467349,bottle
