Serial Number:20555848 --,,,,,,,,
,,,,,,,,
Date Time - GMT -10:00,"Temp, (*F)","Intensity, (lum/ft²)",Button Down,Button Up,Host Connect,Stopped,EOF,
4/4/22 20:58,83,"35""""",0, , , , , 
4/4/22 21:00,83,"35""""",0, , , , , 
4/4/22 21:02,83,"35""""",0, , , , , 
4/4/22 21:04,83,"27""""",0, , , , , 
4/4/22 21:06,83,"27""""",0, , , , , 
4/4/22 21:08,83,"04""""",0, , , , , 
4/4/22 21:10,83,"27""""",0, , , , , 
4/4/22 21:12,83,"27""""",0, , , , , 
4/4/22 21:14,83,"35""""",0, , , , , 
4/4/22 21:16,83,"27""""",0, , , , , 
4/4/22 21:18,83,"04""""",0, , , , , 
4/4/22 21:20,82,"96""""",0, , , , , 
4/4/22 21:22,82,"96""""",0, , , , , 
4/4/22 21:24,83,"19""""",0, , , , , 
4/4/22 21:26,83,"19""""",0, , , , , 
4/4/22 21:28,83,"12""""",0, , , , , 
4/4/22 21:30,83,"35""""",0, , , , , 
4/4/22 21:32,83,"42""""",0, , , , , 
4/4/22 21:34,83,"35""""",0, , , , , 
4/4/22 21:36,83,"42""""",0, , , , , 
4/4/22 21:38,83,"50""""",0, , , , , 
4/4/22 21:40,83,"35""""",0, , , , , 
4/4/22 21:42,83,"35""""",0, , , , , 
4/4/22 21:44,83,"27""""",0, , , , , 
4/4/22 21:46,83,"19""""",0, , , , , 
4/4/22 21:48,83,"19""""",0, , , , , 
4/4/22 21:50,83,"35""""",0, , , , , 
4/4/22 21:52,83,"35""""",0, , , , , 
4/4/22 21:54,83,"42""""",0, , , , , 
4/4/22 21:56,83,"50""""",0, , , , , 
4/4/22 21:58,83,"50""""",0, , , , , 
4/4/22 22:00,83,"58""""",0, , , , , 
4/4/22 22:02,83,"58""""",0, , , , , 
4/4/22 22:04,83,"58""""",0, , , , , 
4/4/22 22:06,83,"66""""",0, , , , , 
4/4/22 22:08,83,"58""""",0, , , , , 
4/4/22 22:10,83,"50""""",0, , , , , 
4/4/22 22:12,83,"66""""",0, , , , , 
4/4/22 22:14,83,"50""""",0, , , , , 
4/4/22 22:16,83,"58""""",0, , , , , 
4/4/22 22:18,83,"66""""",0, , , , , 
4/4/22 22:20,83,"50""""",0, , , , , 
4/4/22 22:22,83,"50""""",0, , , , , 
4/4/22 22:24,83,"58""""",0, , , , , 
4/4/22 22:26,83,"58""""",0, , , , , 
4/4/22 22:28,83,"58""""",0, , , , , 
4/4/22 22:30,83,"58""""",0, , , , , 
4/4/22 22:32,83,"66""""",0, , , , , 
4/4/22 22:34,83,"58""""",0, , , , , 
