Serial Number:20555870 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2022-07-15 01:36:00,22.69,0, , , , , 
2022-07-15 01:38:00,22.65,0, , , , , 
2022-07-15 01:40:00,22.65,0, , , , , 
2022-07-15 01:42:00,22.61,0, , , , , 
2022-07-15 01:44:00,22.65,0, , , , , 
2022-07-15 01:46:00,22.61,0, , , , , 
2022-07-15 01:48:00,22.65,0, , , , , 
2022-07-15 01:50:00,22.61,0, , , , , 
2022-07-15 01:52:00,22.61,0, , , , , 
2022-07-15 01:54:00,22.61,0, , , , , 
2022-07-15 01:56:00,22.61,0, , , , , 
2022-07-15 01:58:00,22.56,0, , , , , 
2022-07-15 02:00:00,22.61,0, , , , , 
2022-07-15 02:02:00,22.61,0, , , , , 
2022-07-15 02:04:00,22.65,0, , , , , 
2022-07-15 02:06:00,22.65,0, , , , , 
2022-07-15 02:08:00,22.61,0, , , , , 
2022-07-15 02:10:00,22.65,0, , , , , 
2022-07-15 02:12:00,22.61,0, , , , , 
2022-07-15 02:14:00,22.65,0, , , , , 
2022-07-15 02:16:00,22.61,0, , , , , 
2022-07-15 02:18:00,22.61,0, , , , , 
2022-07-15 02:20:00,22.65,0, , , , , 
2022-07-15 02:22:00,22.65,0, , , , , 
2022-07-15 02:24:00,22.65,0, , , , , 
2022-07-15 02:26:00,22.73,0, , , , , 
2022-07-15 02:28:00,22.69,0, , , , , 
2022-07-15 02:30:00,22.65,0, , , , , 
2022-07-15 02:32:00,22.69,0, , , , , 
2022-07-15 02:34:00,22.69,0, , , , , 
2022-07-15 02:36:00,22.73,0, , , , , 
2022-07-15 02:38:00,22.69,0, , , , , 
2022-07-15 02:40:00,22.78,0, , , , , 
2022-07-15 02:42:00,22.73,0, , , , , 
2022-07-15 02:44:00,22.69,0, , , , , 
2022-07-15 02:46:00,22.73,0, , , , , 
2022-07-15 02:48:00,22.78,0, , , , , 
2022-07-15 02:50:00,22.73,0, , , , , 
2022-07-15 02:52:00,22.73,0, , , , , 
2022-07-15 02:54:00,22.78,0, , , , , 
2022-07-15 02:56:00,22.78,0, , , , , 
2022-07-15 02:58:00,22.78,0, , , , , 
2022-07-15 03:00:00,22.73,0, , , , , 
2022-07-15 03:02:00,22.82,0, , , , , 
2022-07-15 03:04:00,22.82,0, , , , , 
2022-07-15 03:06:00,22.78,0, , , , , 
2022-07-15 03:08:00,22.73,0, , , , , 
2022-07-15 03:10:00,22.82,0, , , , , 
2022-07-15 03:12:00,22.78,0, , , , , 
2022-07-15 03:14:00,22.78,0, , , , , 
2022-07-15 03:16:00,22.78,0, , , , , 
2022-07-15 03:18:00,22.78,0, , , , , 
2022-07-15 03:20:00,22.78,0, , , , , 
2022-07-15 03:22:00,22.73,0, , , , , 
2022-07-15 03:24:00,22.82,0, , , , , 
2022-07-15 03:26:00,22.73,0, , , , , 
2022-07-15 03:28:00,22.73,0, , , , , 
2022-07-15 03:30:00,22.78,0, , , , , 
2022-07-15 03:32:00,22.73,0, , , , , 
2022-07-15 03:34:00,22.73,0, , , , , 
2022-07-15 03:36:00,22.73,0, , , , , 
2022-07-15 03:38:00,22.73,0, , , , , 
2022-07-15 03:40:00,22.73,0, , , , , 
2022-07-15 03:42:00,22.73,0, , , , , 
2022-07-15 03:44:00,22.73,0, , , , , 
2022-07-15 03:46:00,22.73,0, , , , , 
2022-07-15 03:48:00,22.69,0, , , , , 
2022-07-15 03:50:00,22.69,0, , , , , 
2022-07-15 03:52:00,22.73,0, , , , , 
2022-07-15 03:54:00,22.69,0, , , , , 
2022-07-15 03:56:00,22.69,0, , , , , 
2022-07-15 03:58:00,22.69,0, , , , , 
2022-07-15 04:00:00,22.69,0, , , , , 
2022-07-15 04:02:00,22.69,0, , , , , 
2022-07-15 04:04:00,22.73,0, , , , , 
2022-07-15 04:06:00,22.73,0, , , , , 
2022-07-15 04:08:00,22.73,0, , , , , 
2022-07-15 04:10:00,22.65,0, , , , , 
2022-07-15 04:12:00,22.69,0, , , , , 
2022-07-15 04:14:00,22.69,0, , , , , 
2022-07-15 04:16:00,22.65,0, , , , , 
2022-07-15 04:18:00,22.65,0, , , , , 
2022-07-15 04:20:00,22.65,0, , , , , 
2022-07-15 04:22:00,22.69,0, , , , , 
2022-07-15 04:24:00,22.61,0, , , , , 
2022-07-15 04:26:00,22.61,0, , , , , 
2022-07-15 04:28:00,22.61,0, , , , , 
2022-07-15 04:30:00,22.65,0, , , , , 
2022-07-15 04:32:00,22.61,0, , , , , 
2022-07-15 04:34:00,22.56,0, , , , , 
2022-07-15 04:36:00,22.61,0, , , , , 
2022-07-15 04:38:00,22.56,0, , , , , 
2022-07-15 04:40:00,22.56,0, , , , , 
2022-07-15 04:42:00,22.61,0, , , , , 
2022-07-15 04:44:00,22.56,0, , , , , 
2022-07-15 04:46:00,22.61,0, , , , , 
2022-07-15 04:48:00,22.61,0, , , , , 
