"","DateTime","Battery","Heading","Pitch","Roll","Pressure","Temperature","AnalogIn1","AnalogIn2","Speed.1.0.150m.","Dir.1.0.150m.","Speed.2.0.200m.","Dir.2.0.200m.","Speed.3.0.250m.","Dir.3.0.250m.","Speed.4.0.300m.","Dir.4.0.300m.","Speed.5.0.350m.","Dir.5.0.350m.","Speed.6.0.400m.","Dir.6.0.400m.","Speed.7.0.450m.","Dir.7.0.450m.","Speed.8.0.500m.","Dir.8.0.500m.","Speed.9.0.550m.","Dir.9.0.550m.","Speed.10.0.600m.","Dir.10.0.600m.","Speed.11.0.650m.","Dir.11.0.650m.","Speed.12.0.700m.","Dir.12.0.700m.","Speed.13.0.750m.","Dir.13.0.750m.","Speed.14.0.800m.","Dir.14.0.800m.","Speed.15.0.850m.","Dir.15.0.850m.","Speed.16.0.900m.","Dir.16.0.900m.","Speed.17.0.950m.","Dir.17.0.950m.","X"
"47",2022-03-29 15:08:00,11.9,139.3,3.3,5.4,2.487,29.08,0,0,0.008,75.96,0.008,60.26,0.009,63.43,0.012,59.04,0.011,74.74,0.009,83.66,0.009,71.57,0.008,60.26,0.006,59.04,0.006,59.04,0.008,60.26,0.009,54.46,0.01,60.95,0.01,60.95,0.011,52.13,0.008,60.26,0.008,45,NA
"48",2022-03-29 15:10:00,11.9,139.2,3.3,5.4,2.482,29.1,0,0,0.009,215.54,0.009,220.6,0.009,220.6,0.01,233.13,0.01,225,0.007,236.31,0.007,236.31,0.005,233.13,0.002,243.43,0.002,243.43,0.001,315,0.005,270,0.005,258.69,0.004,236.31,0.008,219.81,0.005,201.8,0.006,218.66,NA
"49",2022-03-29 15:12:00,11.9,139.3,3.3,5.4,2.479,29.1,0,0,0.008,39.81,0.009,49.4,0.008,45,0.011,41.19,0.011,45,0.013,41.99,0.016,45,0.016,37.57,0.016,37.57,0.017,40.24,0.013,41.99,0.011,41.19,0.011,48.81,0.011,41.19,0.009,54.46,0.008,60.26,0.008,75.96,NA
"50",2022-03-29 15:14:00,11.9,139.3,3.3,5.4,2.486,29.11,0,0,0.015,66.8,0.016,71.57,0.013,77.01,0.016,75.96,0.016,75.96,0.016,71.57,0.013,63.43,0.014,56.31,0.013,63.43,0.013,57.53,0.014,56.31,0.016,55.3,0.016,52.43,0.013,51.34,0.013,57.53,0.013,63.43,0.011,52.13,NA
"51",2022-03-29 15:16:00,11.9,139.2,3.3,5.4,2.476,29.1,0,0,0.008,225,0.007,236.31,0.006,239.04,0.008,246.8,0.006,225,0.006,225,0.005,233.13,0.005,216.87,0.003,270,0.005,233.13,0.005,201.8,0.008,219.81,0.009,206.57,0.011,213.69,0.015,222.27,0.013,218.66,0.012,221.63,NA
"52",2022-03-29 15:18:00,11.9,139.3,3.3,5.4,2.469,29.11,0,0,0.01,299.05,0.007,254.05,0.004,236.31,0.006,210.96,0.006,225,0.005,233.13,0.005,216.87,0.006,225,0.007,236.31,0.009,229.4,0.01,233.13,0.01,225,0.01,225,0.013,225,0.015,222.27,0.017,225,0.017,239.04,NA
"53",2022-03-29 15:20:00,11.9,139.3,3.3,5.4,2.472,29.11,0,0,0.002,63.43,0.004,14.04,0.007,15.95,0.008,29.74,0.008,7.13,0.008,7.13,0.007,15.95,0.005,36.87,0.004,0,0.001,0,0.002,333.43,0.001,90,0.002,153.43,0.003,90,0.004,146.31,0,0,0.004,213.69,NA
"54",2022-03-29 15:22:00,11.9,139.2,3.3,5.4,2.466,29.11,0,0,0.005,68.2,0.005,53.13,0.005,36.87,0.008,45,0.008,60.26,0.009,83.66,0.01,78.69,0.01,78.69,0.012,65.56,0.011,68.2,0.011,52.13,0.011,52.13,0.009,54.46,0.011,45,0.011,48.81,0.007,45,0.006,38.66,NA
"55",2022-03-29 15:24:00,11.9,139.3,3.3,5.4,2.476,29.12,0,0,0.012,59.04,0.012,59.04,0.013,57.53,0.014,68.96,0.013,63.43,0.014,65.22,0.014,68.96,0.011,52.13,0.016,50.19,0.014,50.71,0.011,45,0.013,41.99,0.014,39.29,0.017,40.24,0.013,41.99,0.014,50.71,0.014,56.31,NA
"56",2022-03-29 15:26:00,11.9,139.3,3.3,5.4,2.468,29.12,0,0,0.006,270,0.005,258.69,0.007,243.43,0.005,233.13,0.005,216.87,0.005,216.87,0.003,251.57,0.005,270,0.004,296.57,0.005,306.87,0.005,306.87,0.008,309.81,0.008,309.81,0.007,303.69,0.007,303.69,0.006,300.96,0.006,279.46,NA
"57",2022-03-29 15:28:00,11.9,139.2,3.3,5.4,2.455,29.12,0,0,0.004,326.31,0.006,350.54,0.004,14.04,0.002,333.43,0.008,29.74,0.007,15.95,0.009,20.56,0.007,15.95,0.008,7.13,0.01,23.96,0.008,7.13,0.008,7.13,0.004,14.04,0.007,26.57,0.004,33.69,0.001,315,0.002,243.43,NA
"58",2022-03-29 15:30:00,11.9,139.1,3.3,5.4,2.449,29.12,0,0,0.006,239.04,0.008,246.8,0.006,239.04,0.008,262.87,0.006,279.46,0.006,300.96,0.007,278.13,0.004,296.57,0.005,270,0.005,306.87,0.006,329.04,0.005,306.87,0.006,300.96,0.006,300.96,0.007,278.13,0.008,284.04,0.007,278.13,NA
"59",2022-03-29 15:32:00,11.9,139.3,3.3,5.4,2.457,29.12,0,0,0.011,90,0.009,71.57,0.008,75.96,0.008,75.96,0.009,63.43,0.006,71.57,0.008,75.96,0.006,38.66,0.005,36.87,0.005,36.87,0.005,0,0.005,0,0.004,0,0.004,0,0.006,350.54,0.004,0,0.008,7.13,NA
"60",2022-03-29 15:34:00,11.9,139.2,3.3,5.4,2.464,29.1,0,0,0.006,198.43,0.005,201.8,0.004,146.31,0.004,146.31,0.002,116.57,0.002,243.43,0.004,255.96,0.004,255.96,0.007,254.05,0.007,254.05,0.008,246.8,0.008,255.96,0.008,255.96,0.008,284.04,0.009,263.66,0.006,279.46,0.007,296.57,NA
"61",2022-03-29 15:36:00,11.9,139.2,3.3,5.4,2.46,29.05,0,0,0.009,110.56,0.007,116.57,0.007,116.57,0.005,111.8,0.004,135,0.001,90,0.002,63.43,0.001,90,0,0,0.002,243.43,0.001,315,0.001,315,0.003,270,0.002,333.43,0.004,326.31,0.004,14.04,0.004,26.57,NA
"62",2022-03-29 15:38:00,11.9,139.3,3.3,5.4,2.452,29.02,0,0,0.013,257.01,0.014,257.91,0.014,261.87,0.014,257.91,0.014,261.87,0.013,270,0.016,266.42,0.015,277.59,0.014,282.09,0.014,274.09,0.016,284.93,0.017,298.07,0.017,298.07,0.016,296.57,0.016,296.57,0.014,300.26,0.013,302.47,NA
"63",2022-03-29 15:40:00,11.9,139.3,3.3,5.4,2.437,29.01,0,0,0.003,225,0,0,0,0,0.001,0,0.002,333.43,0.002,296.57,0.004,303.69,0.005,0,0.005,338.2,0.005,0,0.008,7.13,0.004,14.04,0.007,15.95,0.005,36.87,0.007,26.57,0.006,59.04,0.008,50.19,NA
"64",2022-03-29 15:42:00,11.9,139.3,3.3,5.4,2.454,29.02,0,0,0.017,79.99,0.019,83.99,0.019,83.99,0.015,82.41,0.015,74.05,0.013,81.25,0.011,68.2,0.01,60.95,0.009,63.43,0.01,60.95,0.011,41.19,0.011,37.87,0.017,32.74,0.018,45,0.02,40.91,0.021,41.19,0.022,46.85,NA
