date,TempInSitu,mV,pH,pH_Serial
2023-05-30T05:20:00Z,27.65,-77.1,8.05,pH_195
2023-05-30T05:22:00Z,27.68,-75.67,8.02,pH_195
2023-05-30T05:24:00Z,27.68,-77,8.05,pH_195
2023-05-30T05:26:00Z,27.68,-77.64,8.06,pH_195
2023-05-30T05:28:00Z,27.68,-76.38,8.04,pH_195
2023-05-30T05:30:00Z,27.68,-77.3,8.05,pH_195
2023-05-30T05:32:00Z,27.7,-77.67,8.06,pH_195
2023-05-30T05:34:00Z,27.68,-76.81,8.04,pH_195
2023-05-30T05:36:00Z,27.7,-76.89,8.05,pH_195
2023-05-30T05:38:00Z,27.7,-77.44,8.06,pH_195
2023-05-30T05:40:00Z,27.68,-77.55,8.06,pH_195
2023-05-30T05:42:00Z,27.65,-76.5,8.04,pH_195
2023-05-30T05:44:00Z,27.68,-76.85,8.05,pH_195
2023-05-30T05:46:00Z,27.68,-77.64,8.06,pH_195
2023-05-30T05:48:00Z,27.65,-76.67,8.04,pH_195
2023-05-30T05:50:00Z,27.68,-76.97,8.05,pH_195
2023-05-30T05:52:00Z,27.65,-75.55,8.02,pH_195
2023-05-30T05:54:00Z,27.63,-75.96,8.03,pH_195
2023-05-30T05:56:00Z,27.63,-75.56,8.02,pH_195
2023-05-30T05:58:00Z,27.65,-76.31,8.04,pH_195
2023-05-30T06:00:00Z,27.63,-76.77,8.04,pH_195
2023-05-30T06:02:00Z,27.65,-77.05,8.05,pH_195
